year,title,genre,vote_average,award,winner
1999,Boys Don't Cry,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",7.2,Actress in a Supporting Role,
2000,Gladiator,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}]",7.9,Actor in a Leading Role,1
2000,Cast Away,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",7.5,Actor in a Leading Role,
2000,Pollock,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.6,Actor in a Leading Role,
2000,Quills,"[{""id"": 18, ""name"": ""Drama""}]",6.8,Actor in a Leading Role,
2000,The Contender,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",6.7,Actor in a Supporting Role,
2000,Shadow of the Vampire,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}]",6.6,Actor in a Supporting Role,
2000,Traffic,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",6.9,Actor in a Supporting Role,1
2000,Erin Brockovich,"[{""id"": 18, ""name"": ""Drama""}]",7.1,Actor in a Supporting Role,
2000,Gladiator,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}]",7.9,Actor in a Supporting Role,
2000,The Contender,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",6.7,Actress in a Leading Role,
2000,Chocolat,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.8,Actress in a Leading Role,
2000,Requiem for a Dream,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",7.9,Actress in a Leading Role,
2000,You Can Count on Me,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.8,Actress in a Leading Role,
2000,Erin Brockovich,"[{""id"": 18, ""name"": ""Drama""}]",7.1,Actress in a Leading Role,1
2000,Chocolat,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.8,Actress in a Supporting Role,
2000,Pollock,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.6,Actress in a Supporting Role,1
2000,Almost Famous,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",7.4,Actress in a Supporting Role,
2000,Almost Famous,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",7.4,Actress in a Supporting Role,
2000,Billy Elliot,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]",7.4,Actress in a Supporting Role,
2001,A Beautiful Mind,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.7,Actor in a Leading Role,
2001,I Am Sam,"[{""id"": 18, ""name"": ""Drama""}]",7.2,Actor in a Leading Role,
2001,Ali,"[{""id"": 18, ""name"": ""Drama""}]",6.7,Actor in a Leading Role,
2001,Training Day,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",7.3,Actor in a Leading Role,1
2001,In the Bedroom,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",6.4,Actor in a Leading Role,
2001,Iris,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.2,Actor in a Supporting Role,1
2001,Training Day,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",7.3,Actor in a Supporting Role,
2001,The Lord of the Rings: The Fellowship of the Ring,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",8,Actor in a Supporting Role,
2001,Ali,"[{""id"": 18, ""name"": ""Drama""}]",6.7,Actor in a Supporting Role,
2001,Monster's Ball,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.5,Actress in a Leading Role,1
2001,Iris,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.2,Actress in a Leading Role,
2001,In the Bedroom,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",6.4,Actress in a Leading Role,
2001,Bridget Jones's Diary,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",6.5,Actress in a Leading Role,
2001,A Beautiful Mind,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.7,Actress in a Supporting Role,1
2001,Gosford Park,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",6.8,Actress in a Supporting Role,
2001,Gosford Park,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",6.8,Actress in a Supporting Role,
2001,In the Bedroom,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",6.4,Actress in a Supporting Role,
2001,Iris,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.2,Actress in a Supporting Role,
2002,The Pianist,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",8,Actor in a Leading Role,1
2002,The Quiet American,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10749, ""name"": ""Romance""}]",6.4,Actor in a Leading Role,
2002,Gangs of New York,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 80, ""name"": ""Crime""}]",7.1,Actor in a Leading Role,
2002,About Schmidt,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",6.7,Actor in a Leading Role,
2002,The Hours,"[{""id"": 18, ""name"": ""Drama""}]",7,Actor in a Supporting Role,
2002,Road to Perdition,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",7.3,Actor in a Supporting Role,
2002,Chicago,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",6.9,Actor in a Supporting Role,
2002,Catch Me If You Can,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",7.7,Actor in a Supporting Role,
2002,Frida,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.3,Actress in a Leading Role,
2002,The Hours,"[{""id"": 18, ""name"": ""Drama""}]",7,Actress in a Leading Role,1
2002,Unfaithful,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",6.3,Actress in a Leading Role,
2002,Far from Heaven,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.9,Actress in a Leading Role,
2002,Chicago,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",6.9,Actress in a Leading Role,
2002,About Schmidt,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",6.7,Actress in a Supporting Role,
2002,The Hours,"[{""id"": 18, ""name"": ""Drama""}]",7,Actress in a Supporting Role,
2002,Chicago,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",6.9,Actress in a Supporting Role,
2002,Chicago,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",6.9,Actress in a Supporting Role,1
2003,Pirates of the Caribbean: The Curse of the Black Pearl,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",7.5,Actor in a Leading Role,
2003,House of Sand and Fog,"[{""id"": 18, ""name"": ""Drama""}]",7,Actor in a Leading Role,
2003,Cold Mountain,"[{""id"": 18, ""name"": ""Drama""}]",6.7,Actor in a Leading Role,
2003,Lost in Translation,"[{""id"": 18, ""name"": ""Drama""}]",7.3,Actor in a Leading Role,
2003,Mystic River,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",7.6,Actor in a Leading Role,1
2003,The Cooler,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.7,Actor in a Supporting Role,
2003,21 Grams,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",7.2,Actor in a Supporting Role,
2003,Mystic River,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",7.6,Actor in a Supporting Role,1
2003,The Last Samurai,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10752, ""name"": ""War""}, {""id"": 36, ""name"": ""History""}]",7.3,Actor in a Supporting Role,
2003,Whale Rider,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",7.1,Actress in a Leading Role,
2003,Something's Gotta Give,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",6.3,Actress in a Leading Role,
2003,Monster,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",7,Actress in a Leading Role,1
2003,21 Grams,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",7.2,Actress in a Leading Role,
2003,House of Sand and Fog,"[{""id"": 18, ""name"": ""Drama""}]",7,Actress in a Supporting Role,
2003,Pieces of April,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",6.4,Actress in a Supporting Role,
2003,Mystic River,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",7.6,Actress in a Supporting Role,
2003,Thirteen,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",6.7,Actress in a Supporting Role,
2003,Cold Mountain,"[{""id"": 18, ""name"": ""Drama""}]",6.7,Actress in a Supporting Role,1
2004,Hotel Rwanda,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",7.5,Actor in a Leading Role,
2004,Finding Neverland,"[{""id"": 18, ""name"": ""Drama""}]",7.2,Actor in a Leading Role,
2004,The Aviator,"[{""id"": 18, ""name"": ""Drama""}]",7,Actor in a Leading Role,
2004,Million Dollar Baby,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actor in a Leading Role,
2004,Ray,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",7.2,Actor in a Leading Role,1
2004,The Aviator,"[{""id"": 18, ""name"": ""Drama""}]",7,Actor in a Supporting Role,
2004,Sideways,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.9,Actor in a Supporting Role,
2004,Collateral,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",7,Actor in a Supporting Role,
2004,Million Dollar Baby,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actor in a Supporting Role,1
2004,Closer,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.7,Actor in a Supporting Role,
2004,Being Julia,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.4,Actress in a Leading Role,
2004,Maria Full of Grace,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",6.9,Actress in a Leading Role,
2004,Vera Drake,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",6.8,Actress in a Leading Role,
2004,Million Dollar Baby,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actress in a Leading Role,1
2004,Eternal Sunshine of the Spotless Mind,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.9,Actress in a Leading Role,
2004,The Aviator,"[{""id"": 18, ""name"": ""Drama""}]",7,Actress in a Supporting Role,1
2004,Kinsey,"[{""id"": 18, ""name"": ""Drama""}]",6.6,Actress in a Supporting Role,
2004,Sideways,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.9,Actress in a Supporting Role,
2004,Hotel Rwanda,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",7.5,Actress in a Supporting Role,
2004,Closer,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.7,Actress in a Supporting Role,
2005,Capote,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",6.8,Actor in a Leading Role,1
2005,Hustle & Flow,"[{""id"": 18, ""name"": ""Drama""}]",6.9,Actor in a Leading Role,
2005,Brokeback Mountain,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.5,Actor in a Leading Role,
2005,Walk the Line,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",7.3,Actor in a Leading Role,
2005,"Good Night, and Good Luck.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",6.8,Actor in a Leading Role,
2005,Syriana,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",6.3,Actor in a Supporting Role,1
2005,Cinderella Man,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.3,Actor in a Supporting Role,
2005,Brokeback Mountain,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.5,Actor in a Supporting Role,
2005,A History of Violence,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",6.9,Actor in a Supporting Role,
2005,Transamerica,"[{""id"": 18, ""name"": ""Drama""}]",6.9,Actress in a Leading Role,
2005,Pride & Prejudice,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.7,Actress in a Leading Role,
2005,North Country,"[{""id"": 18, ""name"": ""Drama""}]",6.8,Actress in a Leading Role,
2005,Walk the Line,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",7.3,Actress in a Leading Role,1
2005,Capote,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",6.8,Actress in a Supporting Role,
2005,North Country,"[{""id"": 18, ""name"": ""Drama""}]",6.8,Actress in a Supporting Role,
2005,The Constant Gardener,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",6.8,Actress in a Supporting Role,1
2005,Brokeback Mountain,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.5,Actress in a Supporting Role,
2006,Blood Diamond,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}]",7.3,Actor in a Leading Role,
2006,Half Nelson,"[{""id"": 18, ""name"": ""Drama""}]",6.5,Actor in a Leading Role,
2006,The Pursuit of Happyness,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actor in a Leading Role,
2006,The Last King of Scotland,"[{""id"": 18, ""name"": ""Drama""}]",7.4,Actor in a Leading Role,1
2006,Little Miss Sunshine,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",7.5,Actor in a Supporting Role,1
2006,Little Children,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",6.9,Actor in a Supporting Role,
2006,Blood Diamond,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}]",7.3,Actor in a Supporting Role,
2006,Dreamgirls,"[{""id"": 18, ""name"": ""Drama""}]",6.6,Actor in a Supporting Role,
2006,The Departed,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",7.9,Actor in a Supporting Role,
2006,Volver,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.3,Actress in a Leading Role,
2006,Notes on a Scandal,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.9,Actress in a Leading Role,
2006,The Queen,"[{""id"": 18, ""name"": ""Drama""}]",6.8,Actress in a Leading Role,1
2006,The Devil Wears Prada,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7,Actress in a Leading Role,
2006,Little Children,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",6.9,Actress in a Leading Role,
2006,Babel,"[{""id"": 18, ""name"": ""Drama""}]",6.9,Actress in a Supporting Role,
2006,Notes on a Scandal,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.9,Actress in a Supporting Role,
2006,Little Miss Sunshine,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",7.5,Actress in a Supporting Role,
2006,Dreamgirls,"[{""id"": 18, ""name"": ""Drama""}]",6.6,Actress in a Supporting Role,1
2006,Babel,"[{""id"": 18, ""name"": ""Drama""}]",6.9,Actress in a Supporting Role,
2007,Michael Clayton,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 80, ""name"": ""Crime""}]",6.5,Actor in a Leading Role,
2007,There Will Be Blood,"[{""id"": 18, ""name"": ""Drama""}]",7.9,Actor in a Leading Role,1
2007,In the Valley of Elah,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",6.6,Actor in a Leading Role,
2007,Eastern Promises,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",7.2,Actor in a Leading Role,
2007,The Assassination of Jesse James by the Coward Robert Ford,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}]",7,Actor in a Supporting Role,
2007,No Country for Old Men,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",7.7,Actor in a Supporting Role,1
2007,Charlie Wilson's War,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",6.5,Actor in a Supporting Role,
2007,Into the Wild,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",7.8,Actor in a Supporting Role,
2007,Michael Clayton,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 80, ""name"": ""Crime""}]",6.5,Actor in a Supporting Role,
2007,Elizabeth: The Golden Age,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",6.6,Actress in a Leading Role,
2007,The Savages,"[{""id"": 18, ""name"": ""Drama""}]",6.8,Actress in a Leading Role,
2007,Juno,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7,Actress in a Leading Role,
2007,American Gangster,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",7.4,Actress in a Supporting Role,
2007,Atonement,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.4,Actress in a Supporting Role,
2007,Michael Clayton,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 80, ""name"": ""Crime""}]",6.5,Actress in a Supporting Role,1
2008,Frost/Nixon,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.2,Actor in a Leading Role,
2008,Milk,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}]",7.1,Actor in a Leading Role,1
2008,The Curious Case of Benjamin Button,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]",7.3,Actor in a Leading Role,
2008,The Wrestler,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.3,Actor in a Leading Role,
2008,Milk,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}]",7.1,Actor in a Supporting Role,
2008,Tropic Thunder,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",6.5,Actor in a Supporting Role,
2008,Doubt,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",7,Actor in a Supporting Role,
2008,The Dark Knight,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",8.2,Actor in a Supporting Role,1
2008,Revolutionary Road,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.7,Actor in a Supporting Role,
2008,Rachel Getting Married,"[{""id"": 18, ""name"": ""Drama""}]",6.1,Actress in a Leading Role,
2008,Changeling,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",7.3,Actress in a Leading Role,
2008,Frozen River,"[{""id"": 18, ""name"": ""Drama""}]",6.7,Actress in a Leading Role,
2008,Doubt,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",7,Actress in a Leading Role,
2008,The Reader,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.2,Actress in a Leading Role,1
2008,Doubt,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",7,Actress in a Supporting Role,
2008,Vicky Cristina Barcelona,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.7,Actress in a Supporting Role,1
2008,Doubt,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",7,Actress in a Supporting Role,
2008,The Curious Case of Benjamin Button,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]",7.3,Actress in a Supporting Role,
2008,The Wrestler,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.3,Actress in a Supporting Role,
2009,Crazy Heart,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",6.8,Actor in a Leading Role,1
2009,Up in the Air,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.7,Actor in a Leading Role,
2009,A Single Man,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.3,Actor in a Leading Role,
2009,Invictus,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7,Actor in a Leading Role,
2009,Invictus,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7,Actor in a Supporting Role,
2009,The Messenger,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.1,Actor in a Supporting Role,
2009,The Last Station,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.7,Actor in a Supporting Role,
2009,The Lovely Bones,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}]",6.6,Actor in a Supporting Role,
2009,Inglourious Basterds,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",7.9,Actor in a Supporting Role,1
2009,The Blind Side,"[{""id"": 18, ""name"": ""Drama""}]",7.2,Actress in a Leading Role,1
2009,The Last Station,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.7,Actress in a Leading Role,
2009,An Education,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.8,Actress in a Leading Role,
2009,Julie & Julia,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",6.6,Actress in a Leading Role,
2009,Nine,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",5.1,Actress in a Supporting Role,
2009,Up in the Air,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.7,Actress in a Supporting Role,
2009,Crazy Heart,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",6.8,Actress in a Supporting Role,
