year,title,genre,vote_average,award,winner
1976,Rocky,"[{""id"": 18, ""name"": ""Drama""}]",7.5,Actor in a Supporting Role,
1976,Network,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actress in a Leading Role,1
1976,Rocky,"[{""id"": 18, ""name"": ""Drama""}]",7.5,Actress in a Leading Role,
1976,Taxi Driver,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",8,Actress in a Supporting Role,
1976,Network,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actress in a Supporting Role,1
1977,Annie Hall,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.8,Actor in a Leading Role,
1977,Star Wars,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",8.1,Actor in a Supporting Role,
1977,Julia,"[{""id"": 18, ""name"": ""Drama""}]",6.3,Actor in a Supporting Role,1
1977,Julia,"[{""id"": 18, ""name"": ""Drama""}]",6.3,Actor in a Supporting Role,
1977,Julia,"[{""id"": 18, ""name"": ""Drama""}]",6.3,Actress in a Leading Role,
1977,Annie Hall,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.8,Actress in a Leading Role,1
1977,Close Encounters of the Third Kind,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 18, ""name"": ""Drama""}]",7.2,Actress in a Supporting Role,
1977,Julia,"[{""id"": 18, ""name"": ""Drama""}]",6.3,Actress in a Supporting Role,1
1977,Star Wars,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",8.1,Special Achievement Award,1
1978,The Deer Hunter,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",7.8,Actor in a Leading Role,
1978,The Boys from Brazil,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",6.6,Actor in a Leading Role,
1978,The Deer Hunter,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",7.8,Actor in a Supporting Role,1
1978,The Deer Hunter,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",7.8,Actress in a Supporting Role,
1979,All That Jazz,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",7.3,Actor in a Leading Role,
1979,Apocalypse Now,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",8,Actor in a Supporting Role,
1979,The Rose,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",6.8,Actor in a Supporting Role,
1979,The Black Stallion,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",7,Actor in a Supporting Role,
1979,The Rose,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",6.8,Actress in a Leading Role,
1979,1941,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",5.6,Cinematography,
1979,1941,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",5.6,Sound,
1979,1941,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",5.6,Visual Effects,
1980,Raging Bull,"[{""id"": 18, ""name"": ""Drama""}]",8.2,Actor in a Leading Role,1
1980,The Elephant Man,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.9,Actor in a Leading Role,
1980,Tribute,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",6.4,Actor in a Leading Role,
1980,The Great Santini,"[{""id"": 18, ""name"": ""Drama""}]",7.2,Actor in a Leading Role,
1980,Ordinary People,"[{""id"": 18, ""name"": ""Drama""}]",7.4,Actor in a Supporting Role,
1980,Ordinary People,"[{""id"": 18, ""name"": ""Drama""}]",7.4,Actor in a Supporting Role,1
1980,Raging Bull,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actor in a Supporting Role,
1980,Private Benjamin,"[{""id"": 35, ""name"": ""Comedy""}]",6,Actress in a Leading Role,
1980,Ordinary People,"[{""id"": 18, ""name"": ""Drama""}]",7.4,Actress in a Leading Role,
1980,Coal Miner's Daughter,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",7.2,Actress in a Leading Role,1
1980,Private Benjamin,"[{""id"": 35, ""name"": ""Comedy""}]",6,Actress in a Supporting Role,
1980,Raging Bull,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actress in a Supporting Role,
1981,On Golden Pond,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actor in a Leading Role,1
1981,Atlantic City,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 80, ""name"": ""Crime""}]",7.4,Actor in a Leading Role,
